#OTU ID	01101	01103	01105	01107	01109	01112	01124	01201	01203	01205	01207	01209	01212	01224	01601	01603	01605	01607	01609	01624	02301	02303	02305	02307	02309	02312	02324	02501	02503	02505	02507	02509	02512	02524	02701	02703	02705	02707	02709	02712	02724	02901	02903	02905	02907	02909	02912	02924	03101	03103	03105	03107	03109	03112	03124	03401	03403	03405	03407	03409	03412	03424	03601	03603	03605	03607	03609	03612	03624	04301	04303	04305	04307	04309	04312	04324	04401	04403	04405	04407	04409	04412	04424	04501	04503	04505	04507	04512	04524	04601	04603	04605	04607	04609	04612	04624	06301	06303	06305	06307	06312	06324	06401	06403	06405	06407	06409	06412	06424	07101	07103	07105	07107	07109	07112	07124	07501	07503	07505	07507	07509	07512	07524	07601	07603	07605	07607	07609	07624	08201	08203	08205	08207	08209	08212	08224	08601	08603	08605	08607	08609	08612	08624	10201	10203	10205	10207	10209	10212	10224	10501	10503	10505	10507	10509	10512	10524	10601	10603	10605	10607	10609	10612	10624	10701	10703	10705	10707	10709	10712	10724	11401	11403	11405	11407	11409	11412	11424	11501	11503	11505	11507	11509	11524
Otu59	7388	3	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	9	2	0	0	0	0	8	1	0	0	0	0	0	1	0	0	0	0	0	2	2	4	0	0	0	0	0	5	1	0	0	54	1	0	2	62	8	3	4	30	0	1	7	5	0	3	0	0	20	2	0	0	0	16	0	0	1	2	0	0	0	0	0	0	0
Otu66	438	14	70	1	26	41	2	0	18	0	5	0	34	1	66	123	0	0	7	0	0	0	9	144	77	11	0	0	19	0	22	61	32	3	0	5	57	41	6	2	4	0	15	99	116	6	1	1	0	0	0	3	3	24	3	0	0	17	0	18	0	11	0	1	0	43	22	10	13	0	0	0	1	0	16	0	0	0	7	60	15	0	9	0	2	0	15	0	13	0	13	3	15	3	9	0	1	1	3	20	2	12	0	0	3	17	10	17	0	118	5	6	4	0	10	2	1	7	8	2	2	372	29	0	8	7	0	1	1	64	3	1	0	0	0	1	0	0	163	0	2	0	2	1	427	13	3	13	54	12	0	4	0	0	1	0	4	0	0	41	361	10	7	2	140	5	23	46	37	28	1	0	1	0	1	3	0	0	0	310	6	242	8	2
Otu49	3558	785	0	33	0	14	4	0	0	0	0	1	80	6	0	0	0	0	0	2	0	132	0	45	15	48	1	0	0	0	2	28	39	1	0	0	157	18	4	25	0	0	0	14	1	0	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	3	4	117	2	1	0	0	0	0	66	2	1	0	0	0	0	0	2	1	0	0	0	88	7	0	1	1	0	0	26	0	0	0	0	0	0	7	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	116	1	2	0	1	0	0	0	54	33	4	0	0	0	0	1	0	1	0	1	0	54	75	2	6	0	0	4	0	0	0	0	0	0	56	0	0	36	4	0	0	0	0	25	9	0	0	0	109	0	98	19	4	0	0	2	0	0	45	0	0	0	0	0	1	0
Otu572	64	0	1	0	38	3	0	2	10	0	1	17	74	0	19	1	109	0	7	1	0	0	5	14	1	0	3	515	14	14	0	0	1	2	1	12	28	56	11	22	0	974	136	15	29	10	0	0	3	0	0	0	0	0	0	0	0	0	0	300	2	0	184	84	5	23	12	1	0	15	0	0	0	0	1	0	0	7	2	165	16	0	2	3	1	0	23	0	1	470	70	2	8	1	4	0	0	0	0	0	0	0	0	0	19	201	278	0	0	67	0	4	0	0	1	0	345	36	0	0	21	1	0	535	3	4	1	0	0	0	0	0	1	0	0	1	885	20	280	20	13	11	0	516	179	66	4	89	2	1	3	90	0	158	0	78	0	0	4	0	52	1	0	3	2	2	0	4	9	1	0	1	12	19	0	18	0	0	0	0	1	86	45	0
Otu14	579	2	36	0	991	1	0	1586	151	0	46	0	0	0	0	1	0	12	0	0	997	25	0	2	0	1	0	1	3	6	0	0	0	0	1074	0	0	0	10	0	0	5	104	0	0	0	1	0	20	43	0	1	59	0	0	0	0	0	0	0	0	0	812	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1853	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	1	1	1	0	0	880	435	34	4	0	0	0	1	1	620	0	0	0	0	0	308	2	4	0	0	0	0	0	178	7	0	0	0	0	2	0	0	0	0	13	185	324	0	0	0	0	106	100	68	0	3	8	0	0	0	0	30	1	3	0	3407	1687	1	624	0	0	0	0	0	0	4	2	2	0	1	429	145	74	0	0
Otu16	322	0	1	81	41	0	0	0	1	0	198	0	0	0	1	1	1	0	2	0	314	23	105	56	11	0	0	0	342	6	86	142	184	1	494	0	79	9	13	0	0	0	16	8	32	169	1	0	0	1	143	130	60	0	0	0	0	1	1	68	41	0	593	207	2	8	3	0	0	1	77	1	119	12	1	0	0	19	73	24	36	0	0	0	0	0	0	0	0	59	7	96	0	15	0	0	0	0	4	7	7	2	0	21	34	17	5	1	0	684	855	84	37	14	0	0	0	1	441	8	51	6	0	10	203	19	9	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	254	335	0	19	0	0	0	65	66	29	0	0	0	140	23	408	12	7	9	0	499	71	0	5	1	0	0	4	7	11	13	1	48	0	160	4095	359	106	1	0
Otu5	4587	386	510	637	6581	254	3	6	2870	615	1388	111	91	0	294	436	1052	492	346	0	888	314	328	166	168	35	1	1606	1569	2422	2472	594	425	5	816	2360	163	43	1143	34	0	1172	384	132	63	101	157	2	48	2	571	1162	2018	171	2	160	342	439	428	467	565	0	12	3	14	130	5	3	0	10	5	596	358	87	225	1	605	162	507	346	449	5524	135	547	593	56	973	69	0	114	107	4	23	160	11	92	2	5	2	2	146	13	0	39	1736	424	36	44	2	652	950	943	116	121	50	5	285	123	2460	237	406	8	3	1707	3794	2207	758	179	5	1	2	245	3899	265	0	32	3	4	4	3	58	93	1	2039	1647	1036	361	664	1117	527	300	767	1329	1413	356	308	20	901	211	1994	962	104	42	53	9995	1522	881	215	2019	156	284	3871	2398	1273	1189	1255	174	2	1224	1294	889	6145	180	7
Otu21	703	293	37	54	93	5	0	110	8	449	165	31	0	0	59	31	74	105	58	0	833	20	45	8	1	0	0	949	413	0	18	22	71	0	1576	287	69	27	6	6	0	412	99	1	112	10	0	0	21	28	218	409	318	34	0	170	44	6	137	46	172	0	1101	7	2	2	16	0	0	616	58	44	71	15	1	0	950	525	27	47	20	80	0	5	0	176	302	4	0	769	52	74	116	10	0	0	0	0	107	13	54	1	178	0	170	8	2	0	1	785	587	344	637	564	12	0	25	2	72	6	1	3	0	345	312	77	189	165	0	0	0	1	181	112	0	1	736	6	9	2	1	38	0	2365	234	189	54	40	2	0	1213	1330	491	149	0	2	7	947	82	945	12	5	2	0	2	1	3	9	20	14	0	6	0	96	0	3	1	0	121	190	68	368	0	0
Otu434	6	9	9	6	8	8	0	2	6	10	10	4	5	2	6	7	5	6	7	1	8	8	8	9	7	8	3	3	5	8	5	2	6	2	8	8	11	12	6	3	1	6	6	5	14	8	9	4	8	2	6	7	10	5	0	3	7	11	8	5	10	2	12	9	0	5	5	7	3	10	3	10	5	4	5	4	7	10	11	5	9	10	3	3	8	4	6	3	3	8	6	11	8	4	5	2	11	4	11	4	8	1	6	8	3	4	7	3	1	13	6	9	4	14	7	3	7	6	11	7	8	10	1	2	5	8	7	3	2	5	0	10	5	5	0	3	3	6	9	2	5	7	3	9	4	10	7	3	2	1	8	13	3	4	7	7	2	7	3	5	11	9	9	2	5	10	11	5	7	11	2	11	6	9	8	9	3	3	8	5	5	11	3	4
Otu12	721	150	119	0	147	44	24	56	133	4	4	2	21	5	212	95	14	9	175	0	1457	23	7	66	86	26	2	1337	16	10	0	6	0	0	2687	282	197	74	218	35	3	4111	25	59	17	3	21	4	469	8	10	4	1	5	5	69	2	320	46	59	49	3	2251	408	14	66	124	15	10	417	51	8	11	30	9	6	642	13	1	10	36	22	2	48	12	0	117	0	1	2387	443	90	65	27	17	4	149	34	5	1	12	5	443	20	11	17	1	0	8	108	12	1	25	61	48	1	1085	37	9	6	40	33	3	990	24	35	7	11	14	0	0	1	75	10	0	0	2205	57	394	1	13	13	1	3269	478	94	15	3	6	2	3720	769	48	3	0	70	0	199	15	25	32	1	9	1	295	525	0	45	9	43	1	226	83	69	12	272	51	2	294	12	19	182	0	4
